#x    u
0    0.4
0.0126582    0.4
0.0253165    0.4
0.0379747    0.4
0.0506329    0.4
0.0632911    0.4
0.0759494    0.4
0.0886076    0.4
0.101266    0.4
0.113924    0.4
0.126582    0.4
0.139241    0.4
0.151899    0.4
0.164557    0.4
0.177215    0.4
0.189873    0.4
0.202532    0.4
0.21519    0.4
0.227848    0.4
0.240506    0.4
0.253165    0.4
0.265823    0.4
0.278481    0.4
0.291139    0.4
0.303797    0.4
0.316456    0.4
0.329114    0.4
0.341772    0.4
0.35443    0.4
0.367089    0.4
0.379747    0.4
0.392405    0.4
0.405063    0.4
0.417722    0.4
0.43038    0.4
0.443038    0.4
0.455696    0.400006
0.468354    0.400006
0.481013    0.400069
0.493671    0.400069
0.506329    0.400619
0.518987    0.400619
0.531646    0.404349
0.544304    0.404349
0.556962    0.423252
0.56962    0.423252
0.582278    0.490591
0.594937    0.490591
0.607595    0.641114
0.620253    0.641114
0.632911    0.8
0.64557    0.8
0.658228    0.799994
0.670886    0.799994
0.683544    0.799931
0.696203    0.799931
0.708861    0.799381
0.721519    0.799381
0.734177    0.795651
0.746835    0.795651
0.759494    0.776748
0.772152    0.776748
0.78481    0.709409
0.797468    0.709409
0.810127    0.558886
0.822785    0.558886
0.835443    0.4
0.848101    0.4
0.860759    0.4
0.873418    0.4
0.886076    0.4
0.898734    0.4
0.911392    0.4
0.924051    0.4
0.936709    0.4
0.949367    0.4
0.962025    0.4
0.974684    0.4
0.987342    0.4
1    0.4
